CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,TITLE
1,memory,0.1308609942768581,0.6173987323260777,Memory,Memory
1,recognition_memory,0.11558787450490925,0.6173987323260777,Memory,Memory
1,episodic_memory,0.11551831523556196,0.6173987323260777,Memory,Memory
1,recognition,0.11529039315391745,0.6173987323260777,Memory,Memory
1,remembering,0.10886814182491583,0.6173987323260777,Memory,Memory
1,declarative_memory,0.10455027494225178,0.6173987323260777,Memory,Memory
1,retrieval,0.10197648480937443,0.6173987323260777,Memory,Memory
1,face_perception,0.0995192711342967,0.6173987323260777,Memory,Memory
1,familiarity,0.09793288298579607,0.6173987323260777,Memory,Memory
1,encoding,0.0920606840086487,0.6173987323260777,Memory,Memory
1,picture,0.08895117785253517,0.6173987323260777,Memory,Memory
1,face_recognition,0.0874679941865863,0.6173987323260777,Memory,Memory
1,source_memory,0.08485229469705008,0.6173987323260777,Memory,Memory
1,recall,0.08265786982058324,0.6173987323260777,Memory,Memory
1,episodic_simulation,0.08231205109239709,0.6173987323260777,Memory,Memory
1,remote_memory,0.08109866442414422,0.6173987323260777,Memory,Memory
1,spatial_memory,0.08093030357250777,0.6173987323260777,Memory,Memory
1,face,0.07980385691336428,0.6173987323260777,Memory,Memory
1,encoding_task,0.07896258410373383,0.6173987323260777,Memory,Memory
1,autobiographical_memory,0.07870151369528318,0.6173987323260777,Memory,Memory
1,cognitive_map,0.07805300455766408,0.6173987323260777,Memory,Memory
1,free_recall,0.07619941932123914,0.6173987323260777,Memory,Memory
1,memory_process,0.07432893714292924,0.6173987323260777,Memory,Memory
1,memory_retrieval,0.07264952616933615,0.6173987323260777,Memory,Memory
1,episodic_future_thinking,0.07117600478506328,0.6173987323260777,Memory,Memory
2,memory,0.22216319532308787,0.6472943825022652,Episodic Memory,Episodic Memory
2,episodic_memory,0.19972693582662945,0.6472943825022652,Episodic Memory,Episodic Memory
2,declarative_memory,0.18534406646680174,0.6472943825022652,Episodic Memory,Episodic Memory
2,remembering,0.1767330498232894,0.6472943825022652,Episodic Memory,Episodic Memory
2,encoding,0.171534102800369,0.6472943825022652,Episodic Memory,Episodic Memory
2,recognition_memory,0.17089567467150585,0.6472943825022652,Episodic Memory,Episodic Memory
2,retrieval,0.1644684150916192,0.6472943825022652,Episodic Memory,Episodic Memory
2,memory_process,0.14352863564472784,0.6472943825022652,Episodic Memory,Episodic Memory
2,recall,0.14219674698874907,0.6472943825022652,Episodic Memory,Episodic Memory
2,emotional_memory,0.141660820163316,0.6472943825022652,Episodic Memory,Episodic Memory
2,encoding_task,0.1388375458832018,0.6472943825022652,Episodic Memory,Episodic Memory
2,recognition,0.13699061324797726,0.6472943825022652,Episodic Memory,Episodic Memory
2,autobiographical_memory,0.13525204508270694,0.6472943825022652,Episodic Memory,Episodic Memory
2,source_memory,0.12938143925770906,0.6472943825022652,Episodic Memory,Episodic Memory
2,forgetting,0.12934968601914454,0.6472943825022652,Episodic Memory,Episodic Memory
2,spatial_memory,0.1256538553857107,0.6472943825022652,Episodic Memory,Episodic Memory
2,memory_retrieval,0.12339541657779984,0.6472943825022652,Episodic Memory,Episodic Memory
2,longterm_memory,0.12019816993205006,0.6472943825022652,Episodic Memory,Episodic Memory
2,memory_consolidation,0.11915365142072087,0.6472943825022652,Episodic Memory,Episodic Memory
2,consolidation,0.11862113885755482,0.6472943825022652,Episodic Memory,Episodic Memory
2,episodic_simulation,0.11810942338223318,0.6472943825022652,Episodic Memory,Episodic Memory
2,memory_function,0.11761429983075827,0.6472943825022652,Episodic Memory,Episodic Memory
2,memory_trace,0.1172264909697348,0.6472943825022652,Episodic Memory,Episodic Memory
2,familiarity,0.113047087079407,0.6472943825022652,Episodic Memory,Episodic Memory
2,picture,0.11237133421143652,0.6472943825022652,Episodic Memory,Episodic Memory
3,memory,0.09102916480423187,0.5684386908895309,Encoding,Encoding
3,declarative_memory,0.07648238892904356,0.5684386908895309,Encoding,Encoding
3,episodic_memory,0.07368236212628541,0.5684386908895309,Encoding,Encoding
3,recognition_memory,0.0725609841560359,0.5684386908895309,Encoding,Encoding
3,episodic_simulation,0.07154895391808434,0.5684386908895309,Encoding,Encoding
3,recall,0.06825330384043682,0.5684386908895309,Encoding,Encoding
3,recognition,0.06692028842160741,0.5684386908895309,Encoding,Encoding
3,autobiographical_memory,0.06387200179383437,0.5684386908895309,Encoding,Encoding
3,retrieval,0.06148055992049775,0.5684386908895309,Encoding,Encoding
3,remembering,0.061260057272874965,0.5684386908895309,Encoding,Encoding
3,semantic_memory,0.05937955259486739,0.5684386908895309,Encoding,Encoding
3,semantic_information,0.05906569369003846,0.5684386908895309,Encoding,Encoding
3,cognitive_map,0.05896776312045785,0.5684386908895309,Encoding,Encoding
3,spatial_memory,0.056595394524385376,0.5684386908895309,Encoding,Encoding
3,episodic_future_thinking,0.053408002863026806,0.5684386908895309,Encoding,Encoding
3,memory_process,0.05296435558701209,0.5684386908895309,Encoding,Encoding
3,prospection,0.0527766682709668,0.5684386908895309,Encoding,Encoding
3,face_perception,0.05134292623317077,0.5684386908895309,Encoding,Encoding
3,familiarity,0.04875804553117587,0.5684386908895309,Encoding,Encoding
3,source_memory,0.04785207001047735,0.5684386908895309,Encoding,Encoding
3,emotional_memory,0.046427368669136125,0.5684386908895309,Encoding,Encoding
3,remote_memory,0.04609799399233766,0.5684386908895309,Encoding,Encoding
3,navigation,0.04588547680197617,0.5684386908895309,Encoding,Encoding
3,encoding,0.045476776199626506,0.5684386908895309,Encoding,Encoding
3,encoding_task,0.0448315359375606,0.5684386908895309,Encoding,Encoding
4,memory,0.12172984840781052,0.5988040178331175,Familiarity,Familiarity
4,remembering,0.11121755013840527,0.5988040178331175,Familiarity,Familiarity
4,retrieval,0.11078646402465107,0.5988040178331175,Familiarity,Familiarity
4,episodic_memory,0.1079210078567315,0.5988040178331175,Familiarity,Familiarity
4,memory_retrieval,0.10021764977808743,0.5988040178331175,Familiarity,Familiarity
4,recognition_memory,0.09651677373026862,0.5988040178331175,Familiarity,Familiarity
4,encoding,0.09185347023146946,0.5988040178331175,Familiarity,Familiarity
4,visual_attention,0.08839996274303036,0.5988040178331175,Familiarity,Familiarity
4,navigation,0.0871796047453201,0.5988040178331175,Familiarity,Familiarity
4,familiarity,0.08645232266364232,0.5988040178331175,Familiarity,Familiarity
4,visual_imagery,0.08564483254692756,0.5988040178331175,Familiarity,Familiarity
4,recall,0.08531967799354467,0.5988040178331175,Familiarity,Familiarity
4,source_memory,0.0851665224639397,0.5988040178331175,Familiarity,Familiarity
4,recognition,0.0830151404197581,0.5988040178331175,Familiarity,Familiarity
4,autobiographical_memory,0.08212978204712039,0.5988040178331175,Familiarity,Familiarity
4,spatial_memory,0.08009676429099921,0.5988040178331175,Familiarity,Familiarity
4,episodic_simulation,0.07911068241280975,0.5988040178331175,Familiarity,Familiarity
4,vision,0.07414366461019459,0.5988040178331175,Familiarity,Familiarity
4,prospection,0.07275556317794181,0.5988040178331175,Familiarity,Familiarity
4,visual_perception,0.07236328051114864,0.5988040178331175,Familiarity,Familiarity
4,mental_imagery,0.07176281192030184,0.5988040178331175,Familiarity,Familiarity
5,visual_imagery,0.09710436712373616,0.5679338743944737,Recall,Recall
5,memory,0.0947844073047472,0.5679338743944737,Recall,Recall
5,remembering,0.09447374025784662,0.5679338743944737,Recall,Recall
5,memory_retrieval,0.09177281979969948,0.5679338743944737,Recall,Recall
5,episodic_memory,0.09029424534809748,0.5679338743944737,Recall,Recall
5,retrieval,0.0902015773914442,0.5679338743944737,Recall,Recall
5,recall,0.07445972946343599,0.5679338743944737,Recall,Recall
5,mental_imagery,0.07344276016962425,0.5679338743944737,Recall,Recall
5,imagine,0.07327547003246522,0.5679338743944737,Recall,Recall
5,imagery,0.07258294671250115,0.5679338743944737,Recall,Recall
5,encoding,0.07167435981825883,0.5679338743944737,Recall,Recall
5,episodic_simulation,0.06967531532227192,0.5679338743944737,Recall,Recall
5,autobiographical_memory,0.06943842399942106,0.5679338743944737,Recall,Recall
5,prospection,0.06495992788151801,0.5679338743944737,Recall,Recall
5,recognition_memory,0.06408978158767886,0.5679338743944737,Recall,Recall
5,spatial_memory,0.06227004929921547,0.5679338743944737,Recall,Recall
5,episodic_future_thinking,0.060836411981057936,0.5679338743944737,Recall,Recall
5,semantic_memory,0.060117981057433725,0.5679338743944737,Recall,Recall
5,familiarity,0.059494504029972126,0.5679338743944737,Recall,Recall
5,navigation,0.059323142372981585,0.5679338743944737,Recall,Recall
5,recognition,0.05846039642673503,0.5679338743944737,Recall,Recall
5,source_memory,0.05622083802983793,0.5679338743944737,Recall,Recall
5,memory_process,0.056157453289574916,0.5679338743944737,Recall,Recall
5,judgment,0.0553565729624718,0.5679338743944737,Recall,Recall
6,semantic_knowledge,0.09950813787996976,0.5966953349818165,Retrieval,Retrieval
6,semantic_memory,0.09904928326572984,0.5966953349818165,Retrieval,Retrieval
6,episodic_memory,0.09420015769574057,0.5966953349818165,Retrieval,Retrieval
6,semantic_processing,0.09002436918177299,0.5966953349818165,Retrieval,Retrieval
6,memory,0.08804063556729043,0.5966953349818165,Retrieval,Retrieval
6,retrieval,0.07751416798785192,0.5966953349818165,Retrieval,Retrieval
6,semantic_information,0.07590501901013408,0.5966953349818165,Retrieval,Retrieval
6,declarative_memory,0.07576913668648162,0.5966953349818165,Retrieval,Retrieval
6,imageability,0.07486076980211312,0.5966953349818165,Retrieval,Retrieval
