CLUSTER,TOKEN,R,ROC_AUC,DOMAIN
1,memory,0.16248515573521244,0.6309258029538278,Memory
1,episodic_memory,0.1478537433363621,0.6309258029538278,Memory
1,declarative_memory,0.14016122131213388,0.6309258029538278,Memory
1,recognition_memory,0.13953377195685782,0.6309258029538278,Memory
1,remembering,0.13532149801025511,0.6309258029538278,Memory
1,encoding,0.12890816312071915,0.6309258029538278,Memory
1,retrieval,0.12798857816951525,0.6309258029538278,Memory
1,spatial_memory,0.11911575392118068,0.6309258029538278,Memory
1,recognition,0.11555505747809285,0.6309258029538278,Memory
1,cognitive_map,0.11270312379975728,0.6309258029538278,Memory
1,navigation,0.10784734574885377,0.6309258029538278,Memory
1,familiarity,0.10561113961621447,0.6309258029538278,Memory
1,encoding_task,0.10538652411518692,0.6309258029538278,Memory
1,recall,0.10243151970293246,0.6309258029538278,Memory
1,source_memory,0.1012085911099352,0.6309258029538278,Memory
1,memory_retrieval,0.0981330379828854,0.6309258029538278,Memory
1,autobiographical_memory,0.0965977918162005,0.6309258029538278,Memory
1,memory_process,0.0953069119479266,0.6309258029538278,Memory
1,emotional_memory,0.09525873699189867,0.6309258029538278,Memory
1,episodic_simulation,0.09352255387739897,0.6309258029538278,Memory
1,picture,0.09196651334367956,0.6309258029538278,Memory
1,forgetting,0.08963899316790225,0.6309258029538278,Memory
1,navigation_task,0.08743452459473261,0.6309258029538278,Memory
1,longterm_memory,0.08693438169990164,0.6309258029538278,Memory
1,remote_memory,0.08611526842026654,0.6309258029538278,Memory
2,visual_imagery,0.09710436712373616,0.5679338743944737,Episodic Memory
2,memory,0.0947844073047472,0.5679338743944737,Episodic Memory
2,remembering,0.09447374025784662,0.5679338743944737,Episodic Memory
2,memory_retrieval,0.09177281979969948,0.5679338743944737,Episodic Memory
2,episodic_memory,0.09029424534809748,0.5679338743944737,Episodic Memory
2,retrieval,0.0902015773914442,0.5679338743944737,Episodic Memory
2,recall,0.07445972946343599,0.5679338743944737,Episodic Memory
2,mental_imagery,0.07344276016962425,0.5679338743944737,Episodic Memory
2,imagine,0.07327547003246522,0.5679338743944737,Episodic Memory
2,imagery,0.07258294671250115,0.5679338743944737,Episodic Memory
2,encoding,0.07167435981825883,0.5679338743944737,Episodic Memory
2,episodic_simulation,0.06967531532227192,0.5679338743944737,Episodic Memory
