CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,FREQUENCY
1,memory,0.19836730298295152,0.6387954366702602,MEMORY,104621
1,episodic_memory,0.17864935670780413,0.6387954366702602,MEMORY,11977
1,retrieval,0.16736459674809598,0.6387954366702602,MEMORY,53088
1,recognition_memory,0.16509351128146918,0.6387954366702602,MEMORY,6649
1,remembering,0.16140867545293094,0.6387954366702602,MEMORY,5084
1,declarative_memory,0.15748311472010051,0.6387954366702602,MEMORY,2010
1,encoding,0.15254086887519516,0.6387954366702602,MEMORY,60815
1,recognition,0.1493403912428296,0.6387954366702602,MEMORY,37683
1,familiarity,0.13897366571034073,0.6387954366702602,MEMORY,14917
1,recall,0.12832551063583178,0.6387954366702602,MEMORY,14945
1,spatial_memory,0.1220362063031778,0.6387954366702602,MEMORY,1778
1,picture,0.12159427322956914,0.6387954366702602,MEMORY,57946
1,encoding_task,0.12121764345988527,0.6387954366702602,MEMORY,2186
1,source_memory,0.11983187858589435,0.6387954366702602,MEMORY,3775
1,episodic_simulation,0.11729686412950062,0.6387954366702602,MEMORY,398
1,semantic_memory,0.11628799341857485,0.6387954366702602,MEMORY,4187
1,autobiographical_memory,0.11532924793452892,0.6387954366702602,MEMORY,5475
1,navigation,0.11517117092531415,0.6387954366702602,MEMORY,4357
1,memory_process,0.11330532666311335,0.6387954366702602,MEMORY,1389
1,memory_retrieval,0.11107289668179968,0.6387954366702602,MEMORY,4725
1,forgetting,0.11052288943936654,0.6387954366702602,MEMORY,2714
1,remote_memory,0.1077336953263114,0.6387954366702602,MEMORY,543
1,cognitive_map,0.10698729047903252,0.6387954366702602,MEMORY,508
2,episodic_memory,0.13041372110027535,0.6015679014121551,EPISODIC_MEMORY,11977
2,memory,0.12857118173367107,0.6015679014121551,EPISODIC_MEMORY,104621
2,memory_retrieval,0.11923401988159076,0.6015679014121551,EPISODIC_MEMORY,4725
2,remembering,0.11783338065341728,0.6015679014121551,EPISODIC_MEMORY,5084
2,retrieval,0.11721080722706415,0.6015679014121551,EPISODIC_MEMORY,53088
2,autobiographical_memory,0.10624540649598127,0.6015679014121551,EPISODIC_MEMORY,5475
2,source_memory,0.0961705972927759,0.6015679014121551,EPISODIC_MEMORY,3775
2,prospection,0.0959748514011272,0.6015679014121551,EPISODIC_MEMORY,625
2,recall,0.09283314098575078,0.6015679014121551,EPISODIC_MEMORY,14945
2,navigation,0.08925426515956512,0.6015679014121551,EPISODIC_MEMORY,4357
2,encoding,0.08917252994996244,0.6015679014121551,EPISODIC_MEMORY,60815
2,recognition_memory,0.08745040954533714,0.6015679014121551,EPISODIC_MEMORY,6649
2,episodic_simulation,0.08690922186654591,0.6015679014121551,EPISODIC_MEMORY,398
2,visual_attention,0.08233831389113533,0.6015679014121551,EPISODIC_MEMORY,5345
2,visual_imagery,0.08126404473485148,0.6015679014121551,EPISODIC_MEMORY,2990
2,spatial_memory,0.08115214069613633,0.6015679014121551,EPISODIC_MEMORY,1778
2,spatial_attention,0.07870244426612655,0.6015679014121551,EPISODIC_MEMORY,7321
2,theory_mind,0.07748022666253117,0.6015679014121551,EPISODIC_MEMORY,8533
2,mental_imagery,0.07687619011735927,0.6015679014121551,EPISODIC_MEMORY,3868
2,familiarity,0.07271322839254127,0.6015679014121551,EPISODIC_MEMORY,14917
3,memory,0.11062071241721654,0.5804608439519935,RECALL,104621
3,remembering,0.10787501322645557,0.5804608439519935,RECALL,5084
3,visual_imagery,0.10315223301288096,0.5804608439519935,RECALL,2990
3,retrieval,0.10101030949270184,0.5804608439519935,RECALL,53088
3,episodic_memory,0.10023611071443016,0.5804608439519935,RECALL,11977
3,memory_retrieval,0.09558970253533283,0.5804608439519935,RECALL,4725
3,encoding,0.08689412031148011,0.5804608439519935,RECALL,60815
3,recall,0.08123693693210045,0.5804608439519935,RECALL,14945
3,mental_imagery,0.07998697241551035,0.5804608439519935,RECALL,3868
