ORDER,CLUSTER,DOMAIN,TOKEN,R,ROC_AUC,TITLE
1,1,Memory,memory,0.19900353986731328,0.6558789861153353,Memory
1,1,Memory,episodic_memory,0.17462108238177626,0.6558789861153353,Memory
1,1,Memory,declarative_memory,0.1729327776044224,0.6558789861153353,Memory
1,1,Memory,recognition_memory,0.16234951733932065,0.6558789861153353,Memory
1,1,Memory,remembering,0.15781265092995447,0.6558789861153353,Memory
1,1,Memory,emotion,0.15773326557977307,0.6558789861153353,Memory
1,1,Memory,fear,0.15327016779785751,0.6558789861153353,Memory
1,1,Memory,recognition,0.14406646706798507,0.6558789861153353,Memory
1,1,Memory,emotional_memory,0.14370308821747751,0.6558789861153353,Memory
1,1,Memory,encoding,0.14086712549031652,0.6558789861153353,Memory
1,1,Memory,retrieval,0.13705284277121074,0.6558789861153353,Memory
1,1,Memory,valence,0.13510118121689618,0.6558789861153353,Memory
1,1,Memory,facial_expression,0.13379308909312765,0.6558789861153353,Memory
1,1,Memory,picture,0.13213319387229086,0.6558789861153353,Memory
1,1,Memory,recall,0.1314456163637434,0.6558789861153353,Memory
1,1,Memory,autobiographical_memory,0.12697871267482008,0.6558789861153353,Memory
1,1,Memory,face,0.1261043857641128,0.6558789861153353,Memory
1,1,Memory,memory_process,0.12483576939955796,0.6558789861153353,Memory
1,1,Memory,source_memory,0.12262126553362733,0.6558789861153353,Memory
1,1,Memory,encoding_task,0.12035497847213772,0.6558789861153353,Memory
1,1,Memory,arousal,0.11983040121393734,0.6558789861153353,Memory
1,1,Memory,episodic_simulation,0.11978544400050235,0.6558789861153353,Memory
2,2,Reward,reward,0.2573791447573881,0.6341812542464204,Reward
2,2,Reward,reward_processing,0.20399459147722826,0.6341812542464204,Reward
2,2,Reward,reward_anticipation,0.1924333222706341,0.6341812542464204,Reward
2,2,Reward,anticipation,0.18468106975310072,0.6341812542464204,Reward
2,2,Reward,monetary_incentive_delay_task,0.15819739571296204,0.6341812542464204,Reward
2,2,Reward,reward_learning,0.12406205369967747,0.6341812542464204,Reward
3,3,Cognition,monitoring,0.13249034842620178,0.6123937524151961,Cognition
3,3,Cognition,cognitive_control,0.11320690930270233,0.6123937524151961,Cognition
3,3,Cognition,arousal,0.1125768291751125,0.6123937524151961,Cognition
3,3,Cognition,cognitive_process,0.10865387089104844,0.6123937524151961,Cognition
