CLUSTER,TOKEN,R,ROC_AUC,DOMAIN
1,episodic_memory,0.13717846252867888,0.5950096660113063,Memory
1,autobiographical_memory,0.13269007048189624,0.5950096660113063,Memory
1,memory,0.11522871768530253,0.5950096660113063,Memory
1,remembering,0.11232656236005764,0.5950096660113063,Memory
1,prospection,0.103386196024946,0.5950096660113063,Memory
1,retrieval,0.10181102162754303,0.5950096660113063,Memory
1,memory_retrieval,0.10074213476737608,0.5950096660113063,Memory
1,episodic_simulation,0.09399201936225764,0.5950096660113063,Memory
1,recall,0.08831317538748591,0.5950096660113063,Memory
1,source_memory,0.08591652248069345,0.5950096660113063,Memory
1,thinking,0.08185416676079578,0.5950096660113063,Memory
1,theory_mind,0.08131548304575656,0.5950096660113063,Memory
1,consciousness,0.07922502459886087,0.5950096660113063,Memory
2,memory,0.15811938448794244,0.6301390997189844,Episodic Memory
2,episodic_memory,0.14424474004297902,0.6301390997189844,Episodic Memory
2,recognition_memory,0.13446529779469565,0.6301390997189844,Episodic Memory
2,declarative_memory,0.133740905917532,0.6301390997189844,Episodic Memory
2,remembering,0.13023982679894064,0.6301390997189844,Episodic Memory
2,retrieval,0.12217696149386098,0.6301390997189844,Episodic Memory
2,recognition,0.11804595540392444,0.6301390997189844,Episodic Memory
2,encoding,0.11648863779532945,0.6301390997189844,Episodic Memory
2,spatial_memory,0.10810190203450104,0.6301390997189844,Episodic Memory
2,familiarity,0.10495615467516152,0.6301390997189844,Episodic Memory
2,cognitive_map,0.10304032914865567,0.6301390997189844,Episodic Memory
2,autobiographical_memory,0.1020715773135575,0.6301390997189844,Episodic Memory
2,episodic_simulation,0.10052158939848294,0.6301390997189844,Episodic Memory
2,recall,0.1000055688791299,0.6301390997189844,Episodic Memory
2,source_memory,0.0997329254358047,0.6301390997189844,Episodic Memory
2,encoding_task,0.09595142849207207,0.6301390997189844,Episodic Memory
2,remote_memory,0.0923237518526462,0.6301390997189844,Episodic Memory
2,navigation,0.09135845714036858,0.6301390997189844,Episodic Memory
2,picture,0.0913033494791418,0.6301390997189844,Episodic Memory
2,emotional_memory,0.09127714822880073,0.6301390997189844,Episodic Memory
2,memory_process,0.09117015211030748,0.6301390997189844,Episodic Memory
2,memory_retrieval,0.09110376324653352,0.6301390997189844,Episodic Memory
2,face_perception,0.08800090886829309,0.6301390997189844,Episodic Memory
2,episodic_future_thinking,0.08590172112031427,0.6301390997189844,Episodic Memory
3,memory,0.1106207124172162,0.5804608439519935,Encoding
3,remembering,0.10787501322645572,0.5804608439519935,Encoding
3,visual_imagery,0.1031522330128812,0.5804608439519935,Encoding
3,retrieval,0.10101030949270152,0.5804608439519935,Encoding
3,episodic_memory,0.10023611071443034,0.5804608439519935,Encoding
3,memory_retrieval,0.09558970253533264,0.5804608439519935,Encoding
3,encoding,0.08689412031147978,0.5804608439519935,Encoding
3,recall,0.08123693693210066,0.5804608439519935,Encoding
3,mental_imagery,0.07998697241551014,0.5804608439519935,Encoding
3,imagery,0.07853074481421872,0.5804608439519935,Encoding
3,recognition_memory,0.07808794622342582,0.5804608439519935,Encoding
3,imagine,0.0776477984928965,0.5804608439519935,Encoding
3,familiarity,0.0764895502791239,0.5804608439519935,Encoding
3,autobiographical_memory,0.07489346635367332,0.5804608439519935,Encoding
3,episodic_simulation,0.07401496280546341,0.5804608439519935,Encoding
3,recognition,0.07213554679064144,0.5804608439519935,Encoding
3,spatial_memory,0.07155126110477593,0.5804608439519935,Encoding
3,navigation,0.07087068016138848,0.5804608439519935,Encoding
3,semantic_memory,0.06859546826214137,0.5804608439519935,Encoding
3,episodic_future_thinking,0.06642597337058602,0.5804608439519935,Encoding
3,source_memory,0.06495219050750206,0.5804608439519935,Encoding
3,prospection,0.06407047456343241,0.5804608439519935,Encoding
3,visual_perception,0.06403546657702866,0.5804608439519935,Encoding
3,judgment,0.0636279140660013,0.5804608439519935,Encoding
4,face_perception,0.2089336955347577,0.6349909975790924,Recognition
4,face,0.1687631871777715,0.6349909975790924,Recognition
4,recognition,0.1468672839301675,0.6349909975790924,Recognition
4,face_recognition,0.14682014132253945,0.6349909975790924,Recognition
4,object_recognition,0.13203265621725385,0.6349909975790924,Recognition
4,familiarity,0.11509785285480414,0.6349909975790924,Recognition
5,memory,0.07226859021674964,0.5765954315912701,Recognition Memory
5,episodic_simulation,0.07203034578526739,0.5765954315912701,Recognition Memory
5,autobiographical_memory,0.06956636438688375,0.5765954315912701,Recognition Memory
5,recall,0.06537837946511449,0.5765954315912701,Recognition Memory
5,prospection,0.06497800523720683,0.5765954315912701,Recognition Memory
5,episodic_memory,0.06313092975407725,0.5765954315912701,Recognition Memory
5,recognition_memory,0.05871974134534071,0.5765954315912701,Recognition Memory
