CLUSTER,TOKEN,R,ROC_AUC,DOMAIN
1,episodic_memory,0.14918804426762045,0.5990615532418551,Memory
1,autobiographical_memory,0.1347503378532181,0.5990615532418551,Memory
1,memory,0.12883720806419782,0.5990615532418551,Memory
1,memory_retrieval,0.12336161600536305,0.5990615532418551,Memory
1,remembering,0.1232196952537816,0.5990615532418551,Memory
1,retrieval,0.11586943256985112,0.5990615532418551,Memory
1,prospection,0.10892871132892733,0.5990615532418551,Memory
1,episodic_simulation,0.09558650228854963,0.5990615532418551,Memory
1,source_memory,0.09474205763359242,0.5990615532418551,Memory
1,recall,0.09293562115502088,0.5990615532418551,Memory
1,theory_mind,0.09121953677306614,0.5990615532418551,Memory
2,memory,0.09102916480423187,0.5684386908895309,Episodic Memory
2,declarative_memory,0.07648238892904356,0.5684386908895309,Episodic Memory
2,episodic_memory,0.07368236212628541,0.5684386908895309,Episodic Memory
2,recognition_memory,0.0725609841560359,0.5684386908895309,Episodic Memory
2,episodic_simulation,0.07154895391808434,0.5684386908895309,Episodic Memory
2,recall,0.06825330384043682,0.5684386908895309,Episodic Memory
2,recognition,0.06692028842160741,0.5684386908895309,Episodic Memory
2,autobiographical_memory,0.06387200179383437,0.5684386908895309,Episodic Memory
2,retrieval,0.06148055992049775,0.5684386908895309,Episodic Memory
2,remembering,0.061260057272874965,0.5684386908895309,Episodic Memory
2,semantic_memory,0.05937955259486739,0.5684386908895309,Episodic Memory
2,semantic_information,0.05906569369003846,0.5684386908895309,Episodic Memory
2,cognitive_map,0.05896776312045785,0.5684386908895309,Episodic Memory
2,spatial_memory,0.056595394524385376,0.5684386908895309,Episodic Memory
2,episodic_future_thinking,0.053408002863026806,0.5684386908895309,Episodic Memory
2,memory_process,0.05296435558701209,0.5684386908895309,Episodic Memory
2,prospection,0.0527766682709668,0.5684386908895309,Episodic Memory
2,face_perception,0.05134292623317077,0.5684386908895309,Episodic Memory
2,familiarity,0.04875804553117587,0.5684386908895309,Episodic Memory
2,source_memory,0.04785207001047735,0.5684386908895309,Episodic Memory
2,emotional_memory,0.046427368669136125,0.5684386908895309,Episodic Memory
2,remote_memory,0.04609799399233766,0.5684386908895309,Episodic Memory
2,navigation,0.04588547680197617,0.5684386908895309,Episodic Memory
2,encoding,0.045476776199626506,0.5684386908895309,Episodic Memory
2,encoding_task,0.0448315359375606,0.5684386908895309,Episodic Memory
3,memory,0.15811938448794244,0.6301390997189844,Encoding
3,episodic_memory,0.14424474004297902,0.6301390997189844,Encoding
3,recognition_memory,0.13446529779469565,0.6301390997189844,Encoding
3,declarative_memory,0.133740905917532,0.6301390997189844,Encoding
3,remembering,0.13023982679894064,0.6301390997189844,Encoding
3,retrieval,0.12217696149386098,0.6301390997189844,Encoding
3,recognition,0.11804595540392444,0.6301390997189844,Encoding
3,encoding,0.11648863779532945,0.6301390997189844,Encoding
