DOMAIN,CLUSTER,TOKEN,R,TITLE
Memory,1,memory,0.1842678630334148,Memory
Memory,1,episodic_memory,0.17001285046848968,Memory
Memory,1,retrieval,0.15386861696742218,Memory
Memory,1,recognition_memory,0.15086877164469434,Memory
Memory,1,remembering,0.14861914535650694,Memory
Memory,1,declarative_memory,0.14426759468153105,Memory
Memory,1,recognition,0.1336110651181031,Memory
Memory,1,semantic_memory,0.12730357581856902,Memory
Memory,1,encoding,0.12631938815766156,Memory
Memory,1,familiarity,0.12556456330256474,Memory
Memory,1,recall,0.12330081879637456,Memory
Memory,1,episodic_simulation,0.1197757580159026,Memory
Memory,1,autobiographical_memory,0.11973815415411125,Memory
Memory,1,source_memory,0.1182365919774152,Memory
Memory,1,encoding_task,0.1114048197853397,Memory
Memory,1,semantic_knowledge,0.1081221808009932,Memory
Memory,1,memory_process,0.10421154680913364,Memory
Memory,1,spatial_memory,0.10243859294407978,Memory
Memory,1,memory_retrieval,0.10086048689910626,Memory
Memory,1,picture,0.1007007929076926,Memory
Memory,1,semantic_information,0.09780524217892714,Memory
Memory,1,remote_memory,0.09777020975050496,Memory
Memory,1,free_recall,0.09743491473810692,Memory
Memory,1,forgetting,0.09583679230181044,Memory
Episodic Memory,2,memory,0.13530054778187878,Episodic Memory
Episodic Memory,2,episodic_memory,0.13324024775179502,Episodic Memory
Episodic Memory,2,remembering,0.12763204466615916,Episodic Memory
Episodic Memory,2,retrieval,0.12454201662262593,Episodic Memory
Episodic Memory,2,memory_retrieval,0.12345856115813915,Episodic Memory
Episodic Memory,2,autobiographical_memory,0.10759434459918296,Episodic Memory
Episodic Memory,2,visual_imagery,0.10128703431049284,Episodic Memory
Episodic Memory,2,encoding,0.09928335759143396,Episodic Memory
Episodic Memory,2,recall,0.0966976447581018,Episodic Memory
Episodic Memory,2,prospection,0.09373031656484336,Episodic Memory
Episodic Memory,2,source_memory,0.09248868539037937,Episodic Memory
Episodic Memory,2,recognition_memory,0.09207949549086104,Episodic Memory
