CLUSTER,TOKEN,R,ROC_AUC,DOMAIN
1,episodic_memory,0.12113099333187086,0.5884702343839828,Memory
1,memory,0.11391964725103695,0.5884702343839828,Memory
1,remembering,0.10591629902775776,0.5884702343839828,Memory
1,memory_retrieval,0.1049102143699164,0.5884702343839828,Memory
1,retrieval,0.10355405209070516,0.5884702343839828,Memory
1,autobiographical_memory,0.09612593492663768,0.5884702343839828,Memory
1,source_memory,0.09193733391302483,0.5884702343839828,Memory
1,prospection,0.09177576937137327,0.5884702343839828,Memory
1,recall,0.08720189204673906,0.5884702343839828,Memory
1,recognition_memory,0.08004151607682125,0.5884702343839828,Memory
1,episodic_simulation,0.07961071263512429,0.5884702343839828,Memory
1,navigation,0.07929655577486328,0.5884702343839828,Memory
1,encoding,0.07876648232072123,0.5884702343839828,Memory
1,spatial_memory,0.07500830416593365,0.5884702343839828,Memory
1,visual_attention,0.07472058104225937,0.5884702343839828,Memory
1,theory_mind,0.07297684148567235,0.5884702343839828,Memory
1,thought,0.07212662581364168,0.5884702343839828,Memory
1,mental_imagery,0.06898903538835283,0.5884702343839828,Memory
1,visual_imagery,0.06874453317989418,0.5884702343839828,Memory
1,spatial_attention,0.06842657152646148,0.5884702343839828,Memory
2,memory,0.1308609942768581,0.6173987323260777,Episodic Memory
2,recognition_memory,0.11558787450490925,0.6173987323260777,Episodic Memory
2,episodic_memory,0.11551831523556198,0.6173987323260777,Episodic Memory
2,recognition,0.11529039315391745,0.6173987323260777,Episodic Memory
2,remembering,0.10886814182491583,0.6173987323260777,Episodic Memory
2,declarative_memory,0.10455027494225178,0.6173987323260777,Episodic Memory
2,retrieval,0.10197648480937443,0.6173987323260777,Episodic Memory
2,face_perception,0.0995192711342967,0.6173987323260777,Episodic Memory
2,familiarity,0.09793288298579607,0.6173987323260777,Episodic Memory
2,encoding,0.0920606840086487,0.6173987323260777,Episodic Memory
2,picture,0.08895117785253517,0.6173987323260777,Episodic Memory
2,face_recognition,0.0874679941865863,0.6173987323260777,Episodic Memory
2,source_memory,0.08485229469705008,0.6173987323260777,Episodic Memory
2,recall,0.08265786982058324,0.6173987323260777,Episodic Memory
2,episodic_simulation,0.08231205109239709,0.6173987323260777,Episodic Memory
2,remote_memory,0.08109866442414422,0.6173987323260777,Episodic Memory
2,spatial_memory,0.08093030357250777,0.6173987323260777,Episodic Memory
2,face,0.07980385691336428,0.6173987323260777,Episodic Memory
2,encoding_task,0.07896258410373383,0.6173987323260777,Episodic Memory
2,autobiographical_memory,0.07870151369528318,0.6173987323260777,Episodic Memory
2,cognitive_map,0.07805300455766408,0.6173987323260777,Episodic Memory
2,free_recall,0.07619941932123914,0.6173987323260777,Episodic Memory
2,memory_process,0.07432893714292924,0.6173987323260777,Episodic Memory
2,memory_retrieval,0.07264952616933615,0.6173987323260777,Episodic Memory
2,episodic_future_thinking,0.07117600478506328,0.6173987323260777,Episodic Memory
3,memory,0.09102916480423187,0.5684386908895309,Encoding
3,declarative_memory,0.07648238892904356,0.5684386908895309,Encoding
3,episodic_memory,0.07368236212628541,0.5684386908895309,Encoding
3,recognition_memory,0.0725609841560359,0.5684386908895309,Encoding
3,episodic_simulation,0.07154895391808434,0.5684386908895309,Encoding
3,recall,0.06825330384043682,0.5684386908895309,Encoding
3,recognition,0.06692028842160741,0.5684386908895309,Encoding
3,autobiographical_memory,0.06387200179383437,0.5684386908895309,Encoding
3,retrieval,0.06148055992049775,0.5684386908895309,Encoding
3,remembering,0.061260057272874965,0.5684386908895309,Encoding
3,semantic_memory,0.05937955259486739,0.5684386908895309,Encoding
3,semantic_information,0.05906569369003846,0.5684386908895309,Encoding
3,cognitive_map,0.05896776312045785,0.5684386908895309,Encoding
3,spatial_memory,0.056595394524385376,0.5684386908895309,Encoding
3,episodic_future_thinking,0.053408002863026806,0.5684386908895309,Encoding
3,memory_process,0.05296435558701209,0.5684386908895309,Encoding
3,prospection,0.0527766682709668,0.5684386908895309,Encoding
3,face_perception,0.05134292623317077,0.5684386908895309,Encoding
3,familiarity,0.04875804553117587,0.5684386908895309,Encoding
3,source_memory,0.04785207001047735,0.5684386908895309,Encoding
3,emotional_memory,0.046427368669136125,0.5684386908895309,Encoding
3,remote_memory,0.04609799399233766,0.5684386908895309,Encoding
3,navigation,0.04588547680197617,0.5684386908895309,Encoding
3,encoding,0.045476776199626506,0.5684386908895309,Encoding
3,encoding_task,0.0448315359375606,0.5684386908895309,Encoding
4,face_perception,0.17413261987955098,0.6449306957006335,Familiarity
4,vision,0.154289960802049,0.6449306957006335,Familiarity
4,object_recognition,0.15389927542701934,0.6449306957006335,Familiarity
4,recognition,0.15237712116026286,0.6449306957006335,Familiarity
4,familiarity,0.1385520086806857,0.6449306957006335,Familiarity
4,visual_perception,0.13325340399076335,0.6449306957006335,Familiarity
4,visual_object,0.13139067071744667,0.6449306957006335,Familiarity
4,face,0.1307894561892939,0.6449306957006335,Familiarity
4,visual_angle,0.12764926758881684,0.6449306957006335,Familiarity
4,visual_attention,0.12439237484130684,0.6449306957006335,Familiarity
4,picture,0.12291591048428475,0.6449306957006335,Familiarity
4,shape,0.12277992085208968,0.6449306957006335,Familiarity
4,face_recognition,0.1210386404930522,0.6449306957006335,Familiarity
4,reading,0.1201810290219714,0.6449306957006335,Familiarity
4,retrieval,0.11797581775272642,0.6449306957006335,Familiarity
4,word,0.11513065535032832,0.6449306957006335,Familiarity
